Numéro de run,nom du fichier,Date,Heure de départ,Ferme,MiteMap,Sachet,Modalité
1,MM012020_10_21_08h31m54s,01/03/2022,16h45,POUL6_P1,MM01,1,G
1,MM022020_10_21_11h31m41s,01/03/2022,16h45,POUL6_P1,MM02,1,T
1,MM032020_10_21_07h31m49s,01/03/2022,16h45,POUL6_P1,MM03,1,NM
1,MM042022_03_01_17h20m17s,01/03/2022,16h45,POUL6_P1,MM04,2,G
1,MM052022_03_01_17h15m59s,01/03/2022,16h45,POUL6_P1,MM06,2,T
1,MM062022_03_01_17h17m41s,01/03/2022,16h45,POUL6_P1,MM05,2,NM
1,MM072022_03_01_17h21m35s,01/03/2022,16h45,POUL6_P1,MM07,3,G
1,MM082021_07_04_23h35m21s,01/03/2022,16h45,POUL6_P1,MM08,3,T
1,MM092022_03_01_17h19m40s,01/03/2022,16h45,POUL6_P1,MM09,3,NM
2,MM012020_10_21_08h29m38s,02/03/2022,10h50,POUL6_P1,MM01,4,T
2,MM022020_10_21_11h29m11s,02/03/2022,10h50,POUL6_P1,MM02,4,NM
2,MM032020_10_21_07h29m39s,02/03/2022,10h50,POUL6_P1,MM03,4,G
2,MM042022_03_02_11h06m19s,02/03/2022,10h50,POUL6_P1,MM04,5,T
2,MM052022_03_02_11h06m04s,02/03/2022,10h50,POUL6_P1,MM06,5,NM
2,MM062022_03_02_11h05m55s,02/03/2022,10h50,POUL6_P1,MM05,5,G
2,MM072022_03_02_11h05m59s,02/03/2022,10h50,POUL6_P1,MM07,6,T
2,MM082021_07_04_23h28m33s,02/03/2022,10h50,POUL6_P1,MM08,6,NM
2,MM092022_03_02_11h06m28s,02/03/2022,10h50,POUL6_P1,MM09,6,G
3,MM012020_10_21_09h07m46s,02/03/2022,11h20,POUL6_P1,MM01,1,NM
3,MM022020_10_21_12h07m39s,02/03/2022,11h20,POUL6_P1,MM02,1,T
3,MM032020_10_21_08h07m28s,02/03/2022,11h20,POUL6_P1,MM03,1,G
3,MM042022_03_02_11h44m31s,02/03/2022,11h20,POUL6_P1,MM04,2,NM
3,MM052022_03_02_11h44m31s,02/03/2022,11h20,POUL6_P1,MM06,2,T
3,MM062022_03_02_11h44m25s,02/03/2022,11h20,POUL6_P1,MM05,2,G
3,MM072022_03_02_11h44m33s,02/03/2022,11h20,POUL6_P1,MM07,3,NM
3,MM082021_07_05_00h07m11s,02/03/2022,11h20,POUL6_P1,MM08,3,T
3,MM092022_03_02_11h44m17s,02/03/2022,11h20,POUL6_P1,MM09,3,G
4,MM012020_10_21_09h29m32s,02/03/2022,12h00,POUL6_P1,MM01,4,T
4,MM022020_10_21_12h29m27s,02/03/2022,12h00,POUL6_P1,MM02,4,G
4,MM032020_10_21_08h29m09s,02/03/2022,12h00,POUL6_P1,MM03,4,NM
4,MM042022_03_02_12h30m49s,02/03/2022,12h00,POUL6_P1,MM04,5,T
4,MM052022_03_02_12h30m53s,02/03/2022,12h00,POUL6_P1,MM06,5,G
4,MM062022_03_02_12h30m39s,02/03/2022,12h00,POUL6_P1,MM05,5,NM
4,MM072022_03_02_12h30m48s,02/03/2022,12h00,POUL6_P1,MM07,6,T
4,MM082021_07_05_00h29m15s,02/03/2022,12h00,POUL6_P1,MM08,6,G
4,MM092022_03_02_12h30m39s,02/03/2022,12h00,POUL6_P1,MM09,6,NM
5,MM012020_10_21_09h29m50s,02/03/2022,12h45,POUL6_P1,MM01,1,G
5,MM022020_10_21_12h29m41s,02/03/2022,12h45,POUL6_P1,MM02,1,NM
5,MM032020_10_21_08h29m59s,02/03/2022,12h45,POUL6_P1,MM03,1,T
5,MM042022_03_02_13h09m51s,02/03/2022,12h45,POUL6_P1,MM04,2,G
5,MM052022_03_02_13h09m53s,02/03/2022,12h45,POUL6_P1,MM06,2,NM
5,MM062022_03_02_13h09m27s,02/03/2022,12h45,POUL6_P1,MM05,2,T
5,MM072022_03_02_13h09m38s,02/03/2022,12h45,POUL6_P1,MM07,3,G
5,MM082021_07_05_00h29m01s,02/03/2022,12h45,POUL6_P1,MM08,3,NM
5,MM092022_03_02_13h09m37s,02/03/2022,12h45,POUL6_P1,MM09,3,T
6,MM012020_10_21_09h29m10s,02/03/2022,13h30,POUL6_P1,MM01,4,T
6,MM022020_10_21_13h07m36s,02/03/2022,13h30,POUL6_P1,MM02,4,G
6,MM032020_10_21_08h29m38s,02/03/2022,13h30,POUL6_P1,MM03,4,NM
6,MM042022_03_02_13h47m25s,02/03/2022,13h30,POUL6_P1,MM04,5,T
6,MM052022_03_02_13h47m27s,02/03/2022,13h30,POUL6_P1,MM06,5,G
6,MM062022_03_02_13h47m27s,02/03/2022,13h30,POUL6_P1,MM05,5,NM
6,MM072022_03_02_13h47m20s,02/03/2022,13h30,POUL6_P1,MM07,6,T
6,MM082021_07_05_00h28m05s,02/03/2022,13h30,POUL6_P1,MM08,6,G
6,MM092022_03_02_13h47m11s,02/03/2022,13h30,POUL6_P1,MM09,6,NM
7,MM012020_10_21_09h28m57s,02/03/2022,15h00,POUL6_P1,MM01,1,G
7,MM022020_10_21_12h28m47s,02/03/2022,15h00,POUL6_P1,MM02,1,NM
7,MM032020_10_21_08h29m29s,02/03/2022,15h00,POUL6_P1,MM03,1,T
7,MM042022_03_02_15h17m19s,02/03/2022,15h00,POUL6_P1,MM04,2,G
7,MM052022_03_02_15h17m43s,02/03/2022,15h00,POUL6_P1,MM06,2,NM
7,MM062022_03_02_15h16m39s,02/03/2022,15h00,POUL6_P1,MM05,2,T
7,MM072022_03_02_15h17m03s,02/03/2022,15h00,POUL6_P1,MM07,3,G
7,MM082021_07_05_00h28m23s,02/03/2022,15h00,POUL6_P1,MM08,3,NM
7,MM092022_03_02_15h16m33s,02/03/2022,15h00,POUL6_P1,MM09,3,T
8,MM012020_10_21_10h18m36s,02/03/2022,15h30,POUL6_P1,MM01,4,NM
8,MM022020_10_21_13h18m01s,02/03/2022,15h30,POUL6_P1,MM02,4,G
8,MM032020_10_21_09h18m11s,02/03/2022,15h30,POUL6_P1,MM03,4,T
8,MM042022_03_02_16h06m15s,02/03/2022,15h30,POUL6_P1,MM04,5,NM
8,MM052022_03_02_16h06m39s,02/03/2022,15h30,POUL6_P1,MM06,5,G
8,MM062022_03_02_16h06m31s,02/03/2022,15h30,POUL6_P1,MM05,5,T
8,MM072022_03_02_16h12m44s,02/03/2022,15h30,POUL6_P1,MM07,6,NM
8,MM082021_07_05_01h18m25s,02/03/2022,15h30,POUL6_P1,MM08,6,G
8,MM092022_03_02_16h12m51s,02/03/2022,15h30,POUL6_P1,MM09,6,T
9,MM012020_10_21_10h28m30s,02/03/2022,16h20,POUL6_P1,MM01,1,G
9,MM022020_10_21_13h28m41s,02/03/2022,16h20,POUL6_P1,MM02,1,T
9,MM032020_10_21_09h28m23s,02/03/2022,16h20,POUL6_P1,MM03,1,NM
9,MM042022_03_02_16h48m53s,02/03/2022,16h20,POUL6_P1,MM04,2,G
9,MM052022_03_02_16h48m52s,02/03/2022,16h20,POUL6_P1,MM06,2,T
9,MM062022_03_02_16h48m47s,02/03/2022,16h20,POUL6_P1,MM05,2,NM
9,MM072022_03_02_16h48m46s,02/03/2022,16h20,POUL6_P1,MM07,3,G
9,MM082021_07_05_01h27m47s,02/03/2022,16h20,POUL6_P1,MM08,3,T
9,MM092022_03_02_16h48m35s,02/03/2022,16h20,POUL6_P1,MM09,3,NM
10,MM012020_10_21_10h30m17s,03/03/2022,10h40,POUL6_P1,MM01,4,T
10,MM022020_10_21_13h29m51s,03/03/2022,10h40,POUL6_P1,MM02,4,G
10,MM032020_10_21_09h29m39s,03/03/2022,10h40,POUL6_P1,MM03,4,NM
10,MM042022_03_03_11h15m46s,03/03/2022,10h40,POUL6_P1,MM04,5,T
10,MM052022_03_03_11h15m12s,03/03/2022,10h40,POUL6_P1,MM06,5,G
10,MM062022_03_03_11h14m29s,03/03/2022,10h40,POUL6_P1,MM05,5,NM
10,MM072022_03_03_11h14m13s,03/03/2022,10h40,POUL6_P1,MM07,6,T
10,MM082021_07_05_01h28m31s,03/03/2022,10h40,POUL6_P1,MM08,6,G
10,MM092022_03_03_11h13m53s,03/03/2022,10h40,POUL6_P1,MM09,6,NM
11,MM012020_10_21_10h29m46s,11/03/2022,11h30,POUL6_D1,MM01,1,G
11,MM022020_10_21_13h29m39s,11/03/2022,11h30,POUL6_D1,MM02,1,T
11,MM032020_10_21_09h29m43s,11/03/2022,11h30,POUL6_D1,MM03,1,NM
11,MM042022_03_11_12h34m27s,11/03/2022,11h30,POUL6_D1,MM04,2,G
11,MM052022_03_11_12h02m55s,11/03/2022,11h30,POUL6_D1,MM06,2,T
11,MM062022_03_11_12h02m37s,11/03/2022,11h30,POUL6_D1,MM05,2,NM
11,MM072022_03_11_12h50m56s,11/03/2022,11h30,POUL6_D1,MM07,3,G
11,MM082021_07_05_01h27m45s,11/03/2022,11h30,POUL6_D1,MM08,3,T
11,MM092022_03_11_12h01m33s,11/03/2022,11h30,POUL6_D1,MM09,3,NM
12,MM012020_10_21_10h29m41s,11/03/2022,12h50,POUL6_D1,MM01,4,T
12,MM022020_10_21_13h30m11s,11/03/2022,12h50,POUL6_D1,MM02,4,NM
12,MM032020_10_21_09h29m15s,11/03/2022,12h50,POUL6_D1,MM03,4,G
12,MM042022_03_11_13h16m40s,11/03/2022,12h50,POUL6_D1,MM04,5,T
12,MM052022_03_11_13h17m07s,11/03/2022,12h50,POUL6_D1,MM06,5,NM
12,MM062022_03_11_13h16m37s,11/03/2022,12h50,POUL6_D1,MM05,5,G
12,MM072022_03_11_13h21m44s,11/03/2022,12h50,POUL6_D1,MM07,6,T
12,MM082021_07_05_01h29m09s,11/03/2022,12h50,POUL6_D1,MM08,6,NM
12,MM092022_03_11_13h16m09s,11/03/2022,12h50,POUL6_D1,MM09,6,G
13,MM012020_10_21_10h29m46s,14/03/2022,11h40,POUL6_D1,MM01,1,G
13,MM022020_10_21_13h29m05s,14/03/2022,11h40,POUL6_D1,MM02,1,T
13,MM032020_10_21_09h28m57s,14/03/2022,11h40,POUL6_D1,MM03,1,NM
13,MM042022_03_14_11h53m51s,14/03/2022,11h40,POUL6_D1,MM04,2,G
13,MM052022_03_14_11h54m03s,14/03/2022,11h40,POUL6_D1,MM06,2,T
13,MM062022_03_14_11h53m22s,14/03/2022,11h40,POUL6_D1,MM05,2,NM
13,MM072022_03_14_11h53m22s,14/03/2022,11h40,POUL6_D1,MM07,3,G
13,MM082021_07_05_01h28m17s,14/03/2022,11h40,POUL6_D1,MM08,3,T
13,MM092022_03_14_11h53m03s,14/03/2022,12h10,POUL6_D1,MM09,3,NM
14,MM012020_10_21_10h29m11s,14/03/2022,12h10,POUL6_D1,MM01,,NM
14,MM022020_10_21_13h29m29s,14/03/2022,12h10,POUL6_D1,MM02,4,G
